PROFICIENCIA_LP_SAEB,PROFICIENCIA_MT_SAEB,ERRO_PADRAO_LP_SAEB,ERRO_PADRAO_MT_SAEB,INSE_ALUNO,ID_SERIE,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,IN_PUBLICA,ID_LOCALIZACAO,TX_RESP_Q01,TX_RESP_Q02,TX_RESP_Q04,TX_RESP_Q12b,TX_RESP_Q13b,TX_RESP_Q12f
,,,,,12,2,23,6323191,2,1,1,.,.,.,.,.,.
,,,,,12,3,35,6325999,1,1,1,.,.,.,.,.,.
338.798246,272.890352,21.2586,34.349357,,12,3,35,6326025,2,1,1,B,C,C,.,.,.
,,,,,12,3,35,6325767,2,1,1,.,.,.,.,.,.
217.21948,184.911133,26.230556,37.832287,2.98,12,2,26,6323668,2,1,1,B,D,B,A,B,A
252.213076,224.94133,20.411926,43.250825,3.37,12,2,28,6323952,2,1,1,B,C,D,A,A,A
290.250415,291.298993,19.971124,29.422951,5.75,12,2,28,6323928,2,0,1,A,B,C,B,B,B
304.349688,284.114985,18.688991,23.157756,,12,1,15,6322339,1,1,1,A,B,C,.,.,.
307.875773,330.414233,20.516658,28.077734,5.07,12,3,35,6325870,2,1,2,A,B,C,A,A,C
189.185718,181.701963,32.486573,36.810072,7.18,12,2,29,6324332,1,1,1,A,C,A,D,B,D
284.067617,300.518489,21.805678,23.669507,6.14,12,3,31,6324769,2,1,1,A,C,A,C,B,B
,,,,,12,4,43,6327139,2,0,1,.,.,.,.,.,.
,,,,,12,3,35,6325824,2,1,1,.,.,.,.,.,.
290.016984,266.421262,17.712296,33.237099,3.63,12,2,26,6323643,2,1,1,B,C,C,A,B,A
321.659912,260.271876,19.278104,31.770652,5.28,12,3,35,6325581,2,1,1,A,C,A,B,B,B
,,,,,12,3,31,6325126,2,1,1,.,.,.,.,.,.
284.726424,268.944968,20.013766,36.611096,3.96,12,3,33,6325412,1,1,1,A,C,C,A,A,B
254.222496,278.283682,20.916746,32.273404,3.55,12,2,29,6324072,2,1,1,A,C,B,B,B,A
204.598527,215.167327,28.659292,42.887189,2.64,12,4,43,6326787,2,1,1,B,B,A,A,A,A
267.054126,302.474105,18.632741,34.066709,4.83,12,3,35,6325981,2,1,1,B,B,A,B,B,B
,,,,,12,2,23,6323119,1,0,1,.,.,.,.,.,.
218.798786,240.732981,25.037564,42.137058,3.54,12,5,51,6327485,2,1,1,B,C,C,A,B,B
289.250691,296.469034,19.25502,26.392916,2.98,12,2,23,6323192,2,1,1,A,C,C,A,B,A
280.716729,209.755273,19.158552,41.01189,4.14,12,2,27,6323866,1,1,1,A,B,C,A,B,A
202.680341,205.56659,29.197058,44.336198,4.25,12,2,23,6323098,2,1,1,A,B,C,A,B,A
365.171769,269.363322,24.297605,31.987459,4.38,12,3,35,6325999,1,1,1,B,C,A,B,B,A
265.644672,231.054386,22.073101,34.195653,4.61,13,3,35,6325766,2,1,1,B,C,B,B,B,B
,,,,,12,2,29,6324132,2,1,1,.,.,.,.,.,.
276.782291,308.17434,21.799287,21.549231,4.43,12,2,29,6324332,1,1,1,B,B,B,A,B,A
254.851717,272.706746,24.372257,23.587792,5.14,12,4,42,6326528,2,1,1,B,B,C,A,B,B
,,,,,12,3,35,6325555,2,1,1,.,.,.,.,.,.
187.950029,220.271694,31.010291,43.1766,3.14,12,2,23,6323234,2,1,2,A,C,C,A,B,A
253.195941,249.818893,21.716371,40.481639,4.15,12,4,41,6326103,2,1,1,A,F,C,A,A,A
,,,,,12,2,24,6323333,1,0,1,.,.,.,.,.,.
171.343898,339.796487,33.354458,20.353694,4.94,12,3,33,6325353,2,1,1,A,C,B,B,B,B
,,,,,12,3,35,6325589,2,1,1,.,.,.,.,.,.
,,,,,12,3,35,6325649,2,1,1,.,.,.,.,.,.
,,,,,12,2,24,6323280,2,1,1,.,.,.,.,.,.
178.317615,214.165736,35.116509,37.127597,,12,1,13,6322267,2,1,2,A,C,A,.,.,.
,,,,,12,5,50,6327335,2,1,1,.,.,.,.,.,.
,,,,,12,3,35,6325649,2,1,1,.,.,.,.,.,.
,,,,,12,3,33,6325392,2,0,1,.,.,.,.,.,.
,,,,,12,3,35,6325857,2,1,1,.,.,.,.,.,.
368.399358,368.077446,22.857189,15.79003,4.51,12,3,32,6325343,2,1,1,A,B,A,A,B,A
332.384717,321.755896,21.216123,26.004241,5.25,12,2,25,6323463,2,1,1,C,C,F,B,B,B
269.984762,221.244667,21.453355,37.116306,5.74,12,4,43,6326961,2,1,1,A,C,A,C,B,B
308.485161,279.185505,18.423496,30.962673,6.01,12,3,35,6325677,2,1,1,A,C,C,C,B,B
,,,,,12,3,35,6325870,2,1,1,.,.,.,.,.,.
